version,hemi,subject_id,pair,measure,value
synthlayer,R,PNC007,ses-03_ses-01,consistency,0.9223654068344889
synthlayer,R,PNC009,ses-01_ses-02,consistency,0.9144085857750517
synthlayer,R,PNC009,ses-02_ses-03,consistency,0.9879956695002262
synthlayer,R,PNC009,ses-03_ses-01,consistency,0.9268968901218436
synthlayer,R,PNC010,ses-01_ses-02,consistency,0.9918607596328873
synthlayer,R,PNC010,ses-02_ses-03,consistency,0.988094544816773
synthlayer,R,PNC010,ses-03_ses-01,consistency,0.9876810929041617
synthlayer,R,PNC016,ses-01_ses-02,consistency,0.9963720080301501
synthlayer,R,PNC016,ses-02_ses-03,consistency,0.9946636682659171
synthlayer,R,PNC016,ses-03_ses-01,consistency,0.9956831563108436
synthlayer,R,PNC018,ses-01_ses-02,consistency,0.908762378970016
synthlayer,R,PNC018,ses-02_ses-03,consistency,0.9136150244499268
synthlayer,R,PNC018,ses-03_ses-01,consistency,0.8839443876275394
synthlayer,R,PNC022,ses-01_ses-02,consistency,0.9959015392543658
synthlayer,R,PNC022,ses-02_ses-03,consistency,0.9980210896142053
synthlayer,R,PNC022,ses-03_ses-01,consistency,0.9963502541208812
default,L,PNC003,ses-01_ses-02,identifiability,0.029546638468347475
default,L,PNC003,ses-02_ses-03,identifiability,0.034511278333870764
default,L,PNC003,ses-03_ses-01,identifiability,0.029809194740583213
default,L,PNC006,ses-01_ses-02,identifiability,0.05402272258065186
default,L,PNC006,ses-02_ses-03,identifiability,0.049518144693885824
default,L,PNC006,ses-03_ses-01,identifiability,0.04011310299031281
default,L,PNC007,ses-01_ses-02,identifiability,0.02692946922568021
default,L,PNC007,ses-02_ses-03,identifiability,0.017219656760565232
default,L,PNC007,ses-03_ses-01,identifiability,-0.0018610382456509566
default,L,PNC009,ses-01_ses-02,identifiability,0.05382548559599314
default,L,PNC009,ses-02_ses-03,identifiability,0.049338644769063605
default,L,PNC009,ses-03_ses-01,identifiability,0.04835910148273335
default,L,PNC010,ses-01_ses-02,identifiability,0.037927755238308464
default,L,PNC010,ses-02_ses-03,identifiability,0.021072903472689107
default,L,PNC010,ses-03_ses-01,identifiability,0.021120192801235997
default,L,PNC015,ses-01_ses-02,identifiability,0.052555729517011075
default,L,PNC015,ses-02_ses-03,identifiability,0.05233714494216122
default,L,PNC015,ses-03_ses-01,identifiability,0.053877485646364784
default,L,PNC016,ses-01_ses-02,identifiability,0.02512585099874905
default,L,PNC016,ses-02_ses-03,identifiability,0.025451937580130014
default,L,PNC016,ses-03_ses-01,identifiability,0.02778968441789779
default,L,PNC018,ses-01_ses-02,identifiability,0.02865495758931746
default,L,PNC018,ses-02_ses-03,identifiability,0.031416258239757335
default,L,PNC018,ses-03_ses-01,identifiability,0.032631849671561866
default,L,PNC019,ses-01_ses-02,identifiability,0.032021946933776954
default,L,PNC019,ses-02_ses-03,identifiability,0.02076148577060887
default,L,PNC019,ses-03_ses-01,identifiability,0.02192999812004257
default,L,PNC022,ses-01_ses-02,identifiability,0.031711966794824645
default,L,PNC022,ses-02_ses-03,identifiability,0.03500581877856972
default,L,PNC022,ses-03_ses-01,identifiability,0.03477089025726048
default,R,PNC003,ses-01_ses-02,identifiability,0.030374169287395343
default,R,PNC003,ses-02_ses-03,identifiability,0.033930421309482116
default,R,PNC003,ses-03_ses-01,identifiability,0.03115691725952312
default,R,PNC006,ses-01_ses-02,identifiability,0.059662004794125055
default,R,PNC006,ses-02_ses-03,identifiability,0.04978520597612775
default,R,PNC006,ses-03_ses-01,identifiability,0.04505160416936281
default,R,PNC007,ses-01_ses-02,identifiability,0.04440125405399196
default,R,PNC007,ses-02_ses-03,identifiability,0.022482468357314007
default,R,PNC007,ses-03_ses-01,identifiability,0.00801821113067173
default,R,PNC009,ses-01_ses-02,identifiability,0.05676896569203007
default,R,PNC009,ses-02_ses-03,identifiability,0.05134646270383035
default,R,PNC009,ses-03_ses-01,identifiability,0.050630793635440687
default,R,PNC010,ses-01_ses-02,identifiability,0.0541760954452058
default,R,PNC010,ses-02_ses-03,identifiability,0.03598144401577843
default,R,PNC010,ses-03_ses-01,identifiability,0.03639531241249158
default,R,PNC015,ses-01_ses-02,identifiability,0.05510480724595724
default,R,PNC015,ses-02_ses-03,identifiability,0.05284383911766932
default,R,PNC015,ses-03_ses-01,identifiability,0.05492606487195479
default,R,PNC016,ses-01_ses-02,identifiability,0.03422184757238297
default,R,PNC016,ses-02_ses-03,identifiability,0.035364379567584085
default,R,PNC016,ses-03_ses-01,identifiability,0.03765743346453933
default,R,PNC018,ses-01_ses-02,identifiability,0.024307817969333
default,R,PNC018,ses-02_ses-03,identifiability,0.026706418484429353
default,R,PNC018,ses-03_ses-01,identifiability,0.02551596719357421
default,R,PNC019,ses-01_ses-02,identifiability,0.033103718614313674
default,R,PNC019,ses-02_ses-03,identifiability,0.022903918284353907
default,R,PNC019,ses-03_ses-01,identifiability,0.02363954886671464
default,R,PNC022,ses-01_ses-02,identifiability,0.03052096973582685
default,R,PNC022,ses-02_ses-03,identifiability,0.033905044778298546
default,R,PNC022,ses-03_ses-01,identifiability,0.0296228503740661
synthlayer,L,PNC003,ses-01_ses-02,identifiability,0.05661786459104848
synthlayer,L,PNC003,ses-02_ses-03,identifiability,0.0586004376142002
synthlayer,L,PNC003,ses-03_ses-01,identifiability,0.050036119431383495
synthlayer,L,PNC006,ses-01_ses-02,identifiability,0.06494766745175859
synthlayer,L,PNC006,ses-02_ses-03,identifiability,0.06649205115045306
synthlayer,L,PNC006,ses-03_ses-01,identifiability,0.06761163662181648
synthlayer,L,PNC007,ses-01_ses-02,identifiability,0.06257530104687276
synthlayer,L,PNC007,ses-02_ses-03,identifiability,-0.009585196003607445
synthlayer,L,PNC007,ses-03_ses-01,identifiability,-0.015561732925503483
synthlayer,L,PNC009,ses-01_ses-02,identifiability,0.08260516018912971
synthlayer,L,PNC009,ses-02_ses-03,identifiability,0.07438736423323483
synthlayer,L,PNC009,ses-03_ses-01,identifiability,0.09284047192728734
synthlayer,L,PNC010,ses-01_ses-02,identifiability,0.0612394460255148
synthlayer,L,PNC010,ses-02_ses-03,identifiability,0.054641875036472554
synthlayer,L,PNC010,ses-03_ses-01,identifiability,0.04695479998963642
synthlayer,L,PNC015,ses-01_ses-02,identifiability,0.04532628320977724
synthlayer,L,PNC015,ses-02_ses-03,identifiability,0.03623381916717672
synthlayer,L,PNC015,ses-03_ses-01,identifiability,0.08005274326366242
